Isotope;Density
1H;0.0899
2H;0.0899
3He;0.1785
4He;0.1785
6Li;0.534
7Li;0.534
9Be;1.85
10B;2.3
11B;2.3
12C;2.26
13C;2.26
14N;1.2506
15N;1.2506
16O;1.429
17O;1.429
18O;1.429
19F;1.696
20Ne;0.9
21Ne;0.9
22Ne;0.9
23Na;0.971
24Mg;1.738
25Mg;1.738
26Mg;1.738
27Al;2.702
28Si;2.33
29Si;2.33
30Si;2.33
31P;1.82
32S;2.07
33S;2.07
34S;2.07
35Cl;3.214
36Ar;1.7824
36S;2.07
37Cl;3.214
38Ar;1.7824
39K;0.862
40Ar;1.7824
40Ca;1.55
40K;0.862
41K;0.862
42Ca;1.55
43Ca;1.55
44Ca;1.55
45Sc;2.99
46Ca;1.55
46Ti;4.54
47Ti;4.54
48Ca;1.55
48Ti;4.54
49Ti;4.54
50Cr;7.19
50Ti;4.54
50V;6.11
51V;6.11
52Cr;7.19
53Cr;7.19
54Cr;7.19
54Fe;7.874
55Mn;7.43
56Fe;7.874
57Fe;7.874
58Fe;7.874
58Ni;8.9
59Co;8.9
60Ni;8.9
61Ni;8.9
62Ni;8.9
63Cu;8.96
64Ni;8.9
64Zn;7.13
65Cu;8.96
66Zn;7.13
67Zn;7.13
68Zn;7.13
69Ga;5.907
70Ge;5.323
70Zn;7.13
71Ga;5.907
72Ge;5.323
73Ge;5.323
74Ge;5.323
74Se;4.79
75As;5.72
76Ge;5.323
76Se;4.79
77Se;4.79
78Se;4.79
79Br;3.119
80Se;4.79
81Br;3.119
82Se;4.79
84Sr;2.54
85Rb;1.63
86Sr;2.54
87Rb;1.63
87Sr;2.54
88Sr;2.54
89Y;4.47
90Zr;6.51
91Sr;2.54
91Zr;6.51
92Mo;10.22
92Zr;6.51
93Nb;8.57
94Mo;10.22
94Zr;6.51
95Mo;10.22
96Mo;10.22
96Ru;12.37
96Zr;6.51
97Mo;10.22
98Mo;10.22
98Ru;12.37
99Ru;12.37
99Tc;11.5
100Mo;10.22
100Ru;12.37
101Ru;12.37
102Pd;12.02
102Ru;12.37
103Rh;12.41
104Pd;12.02
104Ru;12.37
105Pd;12.02
106Cd;8.65
106Pd;12.02
107Ag;10.49
108Cd;8.65
108Pd;12.02
109Ag;10.49
110Cd;8.65
110Pd;12.02
111Cd;8.65
112Cd;8.65
112Sn;7.31
113Cd;8.65
113In;7.31
114Cd;8.65
114Sn;7.31
115In;7.31
115Sn;7.31
116Cd;8.65
116Sn;7.31
117Sn;7.31
118Sn;7.31
119Sn;7.31
120Sn;7.31
120Te;6.24
121Sb;6.684
122Sn;7.31
122Te;6.24
123Sb;6.684
123Te;6.24
124Sn;7.31
124Te;6.24
124Xe;5.9
125Te;6.24
126Te;6.24
126Xe;5.9
127I;4.93
128Te;6.24
128Xe;5.9
129Xe;5.9
130Ba;3.62
130Te;6.24
130Xe;5.9
131Xe;5.9
132Ba;3.62
132Xe;5.9
133Cs;1.873
134Ba;3.62
134Xe;5.9
135Ba;3.62
136Ba;3.62
136Ce;6.77
136Xe;5.9
137Ba;3.62
138Ba;3.62
138Ce;6.77
138La;6.15
139La;6.15
140Ce;6.77
141Pr;6.77
142Ce;6.77
142Nd;7.01
143Nd;7.01
144Nd;7.01
144Sm;7.52
145Nd;7.01
145Pm;7.3
146Nd;7.01
147Sm;7.52
148Nd;7.01
148Sm;7.52
149Sm;7.52
150Nd;7.01
150Sm;7.52
151Eu;5.24
152Gd;7.895
152Sm;7.52
153Eu;5.24
154Gd;7.895
154Sm;7.52
155Gd;7.895
156Dy;8.55
156Gd;7.895
157Gd;7.895
158Ce;6.77
158Dy;8.55
158Gd;7.895
159Tb;8.23
160Dy;8.55
160Gd;7.895
161Dy;8.55
162Dy;8.55
162Er;9.07
163Dy;8.55
164Dy;8.55
164Er;9.07
165Ho;8.8
166Er;9.07
167Er;9.07
168Er;9.07
168Yb;6.9
169Tm;9.32
170Er;9.07
170Yb;6.9
171Yb;6.9
172Yb;6.9
173Yb;6.9
174Hf;13.31
174Yb;6.9
175Lu;9.84
176Hf;13.31
176Lu;9.84
176Yb;6.9
177Hf;13.31
178Hf;13.31
179Hf;13.31
180Hf;13.31
180Ta;16.65
180W;19.35
181Ta;16.65
182W;19.35
183W;19.35
184Os;22.6
184W;19.35
185Re;21.04
186Os;22.6
186W;19.35
187Os;22.6
187Re;21.04
188Os;22.6
189Os;22.6
190Os;22.6
190Pt;21.45
191Ir;22.4
192Os;22.6
192Pt;21.45
193Ir;22.4
194Pt;21.45
195Pt;21.45
196Hg;13.546
196Pt;21.45
197Au;19.32
198Hg;13.546
198Pt;21.45
199Hg;13.546
200Hg;13.546
201Hg;13.546
202Hg;13.546
203Tl;11.85
204Hg;13.546
204Pb;11.35
205Tl;11.85
206Pb;11.35
207Pb;11.35
208Pb;11.35
209Bi;9.75
210Bi;9.75
226Ra;5.5
228Ra;5.5
232Th;11.724
233U;18.95
234U;18.95
235U;18.95
236U;18.95
237Np;20.2
237U;18.95
238U;18.95
239Pu;19.84
